Employeeid,Age,Experience,EducationField,City,Department,Job_Title,Gender,NumCompaniesWorked,Attrition,Attrition_num
102169,35,12,Ph.D/Doctorate,Bangalore,Research and Development,Centre Manager ,Female,6,No,0
102457,38,3,B.Tech/B.E.,Delhi,Business Development,Senior Manager ,Male,6,No,0
102546,56,11,MBA/PGDM,Chennai,Accounting,Vice President ,Male,2,No,0
102757,38,3,Other degrees,Hyderabad,Services,Lead Engineer ,Male,6,No,0
102774,38,2,Other degrees,Delhi,Marketing,Project Leader ,Male,5,Yes,1
102785,36,11,M.Tech/M.E.,Kolkata,Training,Deputy Manager ,Male,4,No,0
102789,41,4,B.Tech/B.E.,Hyderabad,Business Development,Technical Manager ,Male,5,Yes,1
102792,39,7,M.Tech/M.E.,Kolkata,Research and Development,Project Manager ,Male,2,No,0
102797,69,11,M.Tech/M.E.,Hyderabad,Sales,Lead Engineer ,Male,3,No,0
102842,53,11,M.Tech/M.E.,Kolkata,Legal,Centre Manager ,Male,4,No,0
102852,61,11,Ph.D/Doctorate,Hyderabad,Training,Senior Lead Engineer ,Male,3,No,0
102853,33,11,Other degrees,Hyderabad,Support,Centre Manager ,Female,4,No,0
102866,38,3,Ph.D/Doctorate,Kolkata,Services,Lead Engineer ,Male,1,No,0
102868,33,11,MBA/PGDM,Hyderabad,Product Management,Centre Manager ,Male,5,No,0
103188,39,0,Ph.D/Doctorate,Kolkata,Marketing,Project Manager ,Male,6,No,0
103224,47,3,MBA/PGDM,Bangalore,Sales,Project Leader ,Male,1,No,0
103283,58,10,MBA/PGDM,Kolkata,Legal,Senior Vice President ,Male,6,No,0
103309,43,11,Ph.D/Doctorate,Bangalore,Sales,Project Manager ,Male,3,No,0
103334,36,3,M.Tech/M.E.,Hyderabad,Human Resources,Project Leader ,Male,0,No,0
103361,69,25,Ph.D/Doctorate,Hyderabad,Research and Development,Vice President ,Male,3,No,0
103364,49,22,M.Tech/M.E.,Ahmedabad,Sales,Principal Engineer ,Male,4,No,0
103366,57,21,B.Tech/B.E.,Hyderabad,Sales,Technical Lead ,Male,5,No,0
103367,49,21,Other degrees,Chennai,Training,Program Manager ,Male,3,No,0
103368,52,20,M.Tech/M.E.,Chennai,Sales,Chief Engineer ,Male,6,No,0
103371,41,18,Ph.D/Doctorate,Bangalore,Product Management,Senior Manager ,Male,5,No,0
103372,41,17,Ph.D/Doctorate,Chennai,Legal,Centre Manager ,Male,4,No,0
103376,38,13,B.Tech/B.E.,Kolkata,Sales,Project Manager ,Male,4,No,0
103377,36,13,Other degrees,Ahmedabad,Legal,Project Leader ,Male,6,No,0
103394,44,3,M.Tech/M.E.,Hyderabad,Accounting,General Manager ,Male,1,No,0
103419,41,3,Other degrees,Ahmedabad,Business Development,Account Manager ,Male,4,Yes,1
103437,35,0,MBA/PGDM,Chennai,Services,Project Manager ,Female,6,No,0
103682,62,9,Ph.D/Doctorate,Hyderabad,Marketing,Senior Vice President ,Male,4,No,0
103753,32,7,MBA/PGDM,Delhi,Marketing,Project Leader ,Male,1,No,0
103765,33,9,Other degrees,Chennai,Support,Project Manager ,Male,2,No,0
103811,38,5,Ph.D/Doctorate,Chennai,Product Management,Technical Architect-,Male,5,No,0
103884,30,9,MBA/PGDM,Bangalore,Sales,Lead Engineer ,Male,2,Yes,1
103928,33,3,B.Tech/B.E.,Chennai,Product Management,Lead Engineer ,Male,2,No,0
103941,31,9,M.Tech/M.E.,Bangalore,Sales,Project Leader ,Male,2,No,0
104026,33,0,Ph.D/Doctorate,Bangalore,Training,Lead Engineer ,Male,4,No,0
104107,35,3,B.Tech/B.E.,Bangalore,Product Management,Project Leader ,Male,4,No,0
104562,41,4,Other degrees,Bangalore,Product Management,Technical Manager ,Male,4,Yes,1
104619,32,8,Ph.D/Doctorate,Hyderabad,Legal,Lead Engineer ,Male,5,No,0
104620,35,8,M.Tech/M.E.,Delhi,Sales,Principal Engineer ,Male,2,No,0
104655,41,8,Other degrees,Hyderabad,Product Management,Lead Engineer ,Male,3,No,0
104682,36,5,Ph.D/Doctorate,Hyderabad,Services,Senior Engineer ,Male,1,No,0
104692,32,8,MBA/PGDM,Delhi,Sales,Lead Engineer ,Male,1,No,0
104699,34,8,MBA/PGDM,Ahmedabad,Human Resources,Project Leader ,Female,3,No,0
104701,41,8,B.Tech/B.E.,Kolkata,Research and Development,Senior Manager ,Female,2,No,0
104704,33,0,MBA/PGDM,Hyderabad,Marketing,Lead Engineer ,Male,0,No,0
104746,40,4,Other degrees,Hyderabad,Human Resources,Project Manager ,Male,5,No,0
104747,35,8,Other degrees,Bangalore,Engineering,Project Leader ,Male,4,No,0
104788,31,2,B.Tech/B.E.,Chennai,Product Management,Project Leader ,Male,3,No,0
104832,34,0,Ph.D/Doctorate,Hyderabad,Research and Development,Project Leader ,Male,3,No,0
104947,32,8,B.Tech/B.E.,Kolkata,Support,Senior Engineer ,Male,4,No,0
104959,42,0,M.Tech/M.E.,Ahmedabad,Marketing,Project Leader ,Male,3,No,0
104962,39,3,M.Tech/M.E.,Bangalore,Human Resources,Project Leader ,Male,4,Yes,1
105022,30,0,Other degrees,Hyderabad,Marketing,Senior Engineer ,Male,3,No,0
105057,39,1,Ph.D/Doctorate,Bangalore,Training,Project Leader ,Male,5,No,0
105086,31,8,Ph.D/Doctorate,Chennai,Support,Senior Engineer ,Male,4,No,0
105116,31,7,Other degrees,Hyderabad,Training,Senior Engineer ,Male,1,Yes,1
105179,57,8,B.Tech/B.E.,Kolkata,Business Development,Senior Engineer  ,Female,4,No,0
105239,30,2,MBA/PGDM,Bangalore,Services,Lead Engineer ,Male,5,No,0
105281,32,7,MBA/PGDM,Mumbai,Sales,Senior Engineer  ,Male,1,Yes,1
105283,30,8,M.Tech/M.E.,Kolkata,Support,Project Leader ,Male,3,No,0
105284,31,7,Other degrees,Kolkata,Support,Senior Engineer ,Male,4,Yes,1
105296,48,8,B.Tech/B.E.,Chennai,Training,Lead Engineer  ,Male,3,No,0
105318,29,2,B.Tech/B.E.,Chennai,Research and Development,Lead Engineer ,Male,3,Yes,1
105353,60,7,Ph.D/Doctorate,Bangalore,Business Development,Lead Engineer  ,Male,3,No,0
105398,40,7,Other degrees,Kolkata,Services,Technical Manager ,Male,4,No,0
105455,32,7,B.Tech/B.E.,Chennai,Research and Development,Lead Engineer ,Male,5,No,0
105456,30,7,Other degrees,Mumbai,Services,Lead Engineer ,Male,5,Yes,1
105457,39,7,Other degrees,Bangalore,Legal,Specialist  ,Male,4,No,0
105459,63,7,M.Tech/M.E.,Delhi,Human Resources,Lead Engineer ,Male,4,No,0
105478,36,7,M.Tech/M.E.,Hyderabad,Marketing,Program Manager ,Male,2,No,0
105595,30,2,M.Tech/M.E.,Hyderabad,Sales,Project Leader ,Male,3,No,0
105740,36,4,Other degrees,Bangalore,Sales,Program Manager ,Male,3,No,0
105796,28,7,M.Tech/M.E.,Bangalore,Human Resources,Project Manager ,Male,2,No,0
105953,51,7,B.Tech/B.E.,Ahmedabad,Sales,Senior Engineer  ,Male,4,No,0
106009,31,7,Other degrees,Ahmedabad,Human Resources,Senior Engineer ,Male,4,No,0
106014,39,7,B.Tech/B.E.,Ahmedabad,Sales,Engineer  ,Male,3,No,0
106047,35,7,Ph.D/Doctorate,Chennai,Accounting,Project Manager ,Male,1,No,0
106077,36,1,B.Tech/B.E.,Delhi,Accounting,Lead Engineer ,Male,3,No,0
106126,56,7,Other degrees,Kolkata,Human Resources,Senior Engineer  ,Male,3,No,0
106129,32,7,M.Tech/M.E.,Kolkata,Human Resources,Project Leader ,Male,2,No,0
106132,30,7,Ph.D/Doctorate,Delhi,Sales,Technical Lead ,Female,5,No,0
106159,34,0,Other degrees,Mumbai,Accounting,Lead Engineer ,Male,2,No,0
106164,38,2,Other degrees,Chennai,Research and Development,Senior Lead Engineer ,Male,5,No,0
106176,32,7,M.Tech/M.E.,Chennai,Support,Senior Engineer  ,Male,2,No,0
106199,31,7,B.Tech/B.E.,Bangalore,Sales,Senior Engineer  ,Male,2,No,0
106204,30,7,Ph.D/Doctorate,Bangalore,Research and Development,Project Manager ,Male,6,No,0
106258,32,4,Ph.D/Doctorate,Chennai,Services,Lead Engineer ,Male,5,No,0
106272,49,7,Other degrees,Bangalore,Training,Engineer  ,Male,5,Yes,1
106273,34,7,B.Tech/B.E.,Ahmedabad,Legal,Senior Engineer  ,Female,3,No,0
106275,51,7,M.Tech/M.E.,Chennai,Business Development,Lead Engineer  ,Female,4,Yes,1
106283,31,7,B.Tech/B.E.,Chennai,Human Resources,Project Leader ,Male,3,No,0
106319,35,7,B.Tech/B.E.,Kolkata,Legal,Engineer  ,Male,3,No,0
106327,31,7,M.Tech/M.E.,Chennai,Sales,Technical Lead ,Male,8,No,0
106328,30,7,M.Tech/M.E.,Delhi,Business Development,Senior Engineer  ,Male,8,No,0
106371,32,7,Other degrees,Bangalore,Accounting,Manager ,Male,3,No,0
106388,53,9,MBA/PGDM,Mumbai,Human Resources,Lead Engineer  ,Male,3,No,0
106412,30,7,Other degrees,Hyderabad,Legal,Senior Engineer  ,Male,4,No,0
106445,41,7,B.Tech/B.E.,Chennai,Business Development,Project Leader ,Female,1,No,0
106449,29,7,MBA/PGDM,Delhi,Human Resources,Project Leader ,Male,3,No,0
106478,29,7,M.Tech/M.E.,Chennai,Human Resources,Project Manager ,Male,3,No,0
106494,37,1,Other degrees,Kolkata,Marketing,Senior Engineer ,Male,2,No,0
106572,35,7,B.Tech/B.E.,Chennai,Research and Development,Lead Engineer  ,Male,4,No,0
106597,29,7,Ph.D/Doctorate,Hyderabad,Sales,Lead Engineer  ,Male,1,No,0
106650,30,6,B.Tech/B.E.,Delhi,Legal,Senior Engineer  ,Male,2,Yes,1
106651,55,7,M.Tech/M.E.,Ahmedabad,Human Resources,Senior Engineer  ,Female,3,No,0
106672,33,6,Ph.D/Doctorate,Delhi,Human Resources,Senior Engineer  ,Male,2,Yes,1
106704,31,7,B.Tech/B.E.,Delhi,Business Development,Lead Engineer  ,Male,4,No,0
106706,62,7,Ph.D/Doctorate,Delhi,Sales,Senior Engineer  ,Male,0,No,0
106751,46,2,Other degrees,Bangalore,Support,Assistant Vice-President ,Male,7,No,0
106755,57,7,Other degrees,Chennai,Accounting,Vice President ,Male,5,No,0
106772,34,4,Other degrees,Chennai,Engineering,Lead Engineer ,Male,2,No,0
106809,33,7,Other degrees,Mumbai,Training,Senior Engineer ,Male,3,No,0
106813,66,7,Other degrees,Chennai,Human Resources,Lead Engineer  ,Male,5,No,0
106817,46,7,Other degrees,Bangalore,Human Resources,Technical Lead ,Male,2,No,0
106839,53,7,B.Tech/B.E.,Delhi,Human Resources,Centre Manager ,Male,3,No,0
106857,64,7,B.Tech/B.E.,Bangalore,Human Resources,Lead Engineer  ,Female,4,No,0
106935,48,9,MBA/PGDM,Delhi,Research and Development,Lead Engineer  ,Male,4,No,0
106956,31,7,Ph.D/Doctorate,Delhi,Support,Program Manager ,Female,5,No,0
106967,30,2,B.Tech/B.E.,Hyderabad,Sales,Team Lead ,Male,4,No,0
107021,38,7,Other degrees,Hyderabad,Sales,Lead Engineer  ,Male,4,No,0
107052,29,7,Ph.D/Doctorate,Ahmedabad,Support,Senior Engineer ,Male,4,No,0
107053,30,7,B.Tech/B.E.,Kolkata,Support,Senior Engineer ,Male,4,No,0
107054,36,7,Other degrees,Hyderabad,Sales,Senior Engineer ,Male,1,No,0
107055,32,7,MBA/PGDM,Chennai,Support,Technical Lead ,Male,4,No,0
107058,36,6,B.Tech/B.E.,Delhi,Support,Senior Manager ,Male,4,Yes,1
107116,41,6,M.Tech/M.E.,Ahmedabad,Accounting,Technical Lead ,Female,3,Yes,1
107171,53,7,MBA/PGDM,Delhi,Legal,Project Leader ,Male,3,No,0
107172,35,5,Ph.D/Doctorate,Chennai,Services,Project Leader ,Male,2,No,0
107232,30,6,B.Tech/B.E.,Kolkata,Sales,Project Leader ,Male,5,Yes,1
107280,60,7,B.Tech/B.E.,Chennai,Human Resources,Senior Engineer  ,Male,4,No,0
107328,28,3,Other degrees,Kolkata,Training,Lead Engineer ,Male,1,No,0
107368,32,0,M.Tech/M.E.,Bangalore,Services,Lead Engineer ,Male,5,No,0
107405,29,6,Other degrees,Ahmedabad,Sales,Project Leader ,Male,5,Yes,1
107440,30,7,Other degrees,Delhi,Business Development,Senior Engineer  ,Male,5,No,0
107472,33,6,Other degrees,Kolkata,Business Development,Lead Engineer  ,Male,4,No,0
107568,31,6,M.Tech/M.E.,Ahmedabad,Business Development,Senior Engineer  ,Male,2,No,0
107570,48,6,B.Tech/B.E.,Hyderabad,Human Resources,Senior Engineer  ,Male,5,No,0
107579,28,6,MBA/PGDM,Chennai,Services,Project Leader ,Male,2,Yes,1
107636,34,6,Other degrees,Hyderabad,Human Resources,Senior Engineer  ,Male,5,No,0
107735,55,6,Ph.D/Doctorate,Hyderabad,Business Development,Technical Manager ,Male,0,No,0
107757,47,6,Other degrees,Hyderabad,Sales,Lead Engineer ,Male,3,No,0
107762,31,1,MBA/PGDM,Bangalore,Services,Senior Engineer ,Male,5,No,0
107785,33,3,Ph.D/Doctorate,Mumbai,Product Management,Project Leader ,Male,4,Yes,1
107809,31,3,MBA/PGDM,Chennai,Human Resources,Lead Engineer ,Male,2,No,0
107861,35,0,Other degrees,Kolkata,Product Management,Project Leader ,Male,3,No,0
107869,32,6,MBA/PGDM,Hyderabad,Business Development,Senior Engineer  ,Male,3,No,0
107873,31,2,M.Tech/M.E.,Hyderabad,Training,Senior Engineer ,Male,4,No,0
107877,73,6,Ph.D/Doctorate,Ahmedabad,Business Development,Senior Lead Engineer  ,Male,2,No,0
107920,35,0,M.Tech/M.E.,Chennai,Human Resources,Program Manager ,Male,8,No,0
107928,34,2,B.Tech/B.E.,Kolkata,Marketing,Lead Engineer ,Male,5,No,0
108015,35,6,M.Tech/M.E.,Chennai,Support,Program Manager ,Female,3,No,0
108120,39,6,Ph.D/Doctorate,Chennai,Legal,Lead Engineer ,Female,3,No,0
108217,29,6,B.Tech/B.E.,Chennai,Support,Project Leader ,Male,4,No,0
108218,41,6,Ph.D/Doctorate,Bangalore,Sales,Project Manager ,Male,4,No,0
108238,30,6,B.Tech/B.E.,Delhi,Training,Senior Engineer ,Female,3,No,0
108261,41,6,B.Tech/B.E.,Delhi,Business Development,Senior Engineer  ,Male,5,No,0
108283,47,3,MBA/PGDM,Chennai,Training,Principal Engineer ,Male,4,No,0
108289,35,5,Other degrees,Delhi,Training,Lead Engineer ,Male,2,Yes,1
108301,45,6,B.Tech/B.E.,Hyderabad,Legal,Senior Specialist-,Male,3,No,0
108316,32,3,B.Tech/B.E.,Mumbai,Marketing,Senior Engineer ,Male,1,Yes,1
108332,61,6,Other degrees,Pune,Legal,Technical Manager ,Female,3,No,0
108356,29,5,Other degrees,Kolkata,Accounting,Technical Lead ,Male,2,Yes,1
108366,52,6,Ph.D/Doctorate,Bangalore,Training,Engineer  ,Male,2,No,0
108464,32,6,Other degrees,Hyderabad,Engineering,Engineer ,Male,2,No,0
108482,36,3,Ph.D/Doctorate,Kolkata,Training,Project Leader ,Male,2,No,0
108483,38,0,Other degrees,Ahmedabad,Engineering,Project Manager ,Male,6,No,0
108490,31,5,M.Tech/M.E.,Bangalore,Engineering,Lead Engineer ,Male,9,Yes,1
108492,33,0,Other degrees,Kolkata,Services,Lead Engineer ,Male,3,No,0
108493,32,5,Ph.D/Doctorate,Delhi,Services,Program Manager ,Male,5,No,0
108494,32,5,B.Tech/B.E.,Delhi,Engineering,Lead Engineer ,Male,5,No,0
108495,35,2,B.Tech/B.E.,Ahmedabad,Engineering,Lead Engineer ,Male,2,No,0
108502,31,4,Ph.D/Doctorate,Bangalore,Engineering,Senior Engineer ,Male,6,No,0
108503,34,5,MBA/PGDM,Ahmedabad,Sales,Lead Engineer ,Male,2,No,0
108504,32,0,M.Tech/M.E.,Hyderabad,Services,Lead Engineer ,Male,2,No,0
108509,32,5,Ph.D/Doctorate,Bangalore,Engineering,Project Leader ,Male,4,No,0
108512,29,4,Ph.D/Doctorate,Chennai,Sales,Senior Engineer ,Male,1,Yes,1
108514,30,5,B.Tech/B.E.,Bangalore,Services,Senior Engineer ,Male,9,No,0
108515,30,5,Ph.D/Doctorate,Mumbai,Services,Senior Engineer ,Male,3,No,0
108518,29,4,Other degrees,Kolkata,Engineering,Senior Engineer ,Male,5,Yes,1
108523,34,6,Other degrees,Chennai,Services,Program Manager ,Male,6,No,0
108565,55,6,B.Tech/B.E.,Chennai,Marketing,Senior Engineer ,Female,4,No,0
108576,29,6,B.Tech/B.E.,Bangalore,Sales,Program Manager ,Female,5,No,0
108605,30,2,Other degrees,Ahmedabad,Sales,Lead Engineer ,Male,5,No,0
108621,28,6,B.Tech/B.E.,Mumbai,Sales,Senior Engineer  ,Male,5,No,0
108654,28,6,B.Tech/B.E.,Delhi,Sales,Senior Engineer  ,Male,3,No,0
108665,64,6,Other degrees,Hyderabad,Human Resources,Senior Engineer  ,Female,5,No,0
108679,38,6,Ph.D/Doctorate,Ahmedabad,Support,Deputy Manager ,Male,6,No,0
108681,64,5,M.Tech/M.E.,Chennai,Business Development,Senior Engineer  ,Female,3,Yes,1
108689,32,6,MBA/PGDM,Chennai,Engineering,Project Leader ,Male,3,No,0
108690,38,6,M.Tech/M.E.,Bangalore,Sales,Project Leader ,Male,4,No,0
108703,32,5,MBA/PGDM,Hyderabad,Training,Senior Engineer  ,Male,3,No,0
108705,32,5,Other degrees,Delhi,Sales,Senior Engineer  ,Female,2,No,0
108725,34,0,Other degrees,Delhi,Marketing,Lead Engineer ,Male,3,No,0
108741,61,5,M.Tech/M.E.,Kolkata,Accounting,Senior Lead Engineer  ,Male,2,No,0
108756,35,5,MBA/PGDM,Chennai,Training,Senior Engineer ,Male,4,Yes,1
108763,63,5,M.Tech/M.E.,Kolkata,Legal,Project Manager ,Male,4,No,0
108765,39,5,MBA/PGDM,Delhi,Training,Project Leader ,Male,6,No,0
108776,33,5,Ph.D/Doctorate,Bangalore,Support,Project Leader ,Male,2,No,0
108779,33,5,Other degrees,Delhi,Human Resources,Technical Lead ,Male,5,No,0
108826,28,5,M.Tech/M.E.,Hyderabad,Support,Assistant Manager ,Female,6,No,0
108827,30,5,Ph.D/Doctorate,Kolkata,Training,Associate Engineer ,Male,3,No,0
108893,28,5,MBA/PGDM,Delhi,Human Resources,Technical Manager ,Male,3,No,0
108897,32,5,M.Tech/M.E.,Delhi,Training,Lead Engineer ,Male,3,No,0
108925,48,5,M.Tech/M.E.,Mumbai,Research and Development,Technical Manager ,Male,3,Yes,1
108972,57,5,Ph.D/Doctorate,Chennai,Sales,Project Manager ,Female,7,Yes,1
108998,31,5,M.Tech/M.E.,Bangalore,Legal,Senior Engineer  ,Male,5,Yes,1
109070,36,5,M.Tech/M.E.,Pune,Support,Senior Engineer  ,Male,2,No,0
109087,34,5,Other degrees,Kolkata,Sales,Senior Engineer  ,Male,3,No,0
109175,39,5,M.Tech/M.E.,Bangalore,Human Resources,Project Leader ,Female,6,No,0
109178,46,5,Other degrees,Delhi,Human Resources,Project Leader ,Male,5,No,0
109234,31,5,Ph.D/Doctorate,Bangalore,Marketing,Project Manager ,Male,5,No,0
109247,29,5,Other degrees,Hyderabad,Human Resources,Senior Engineer ,Male,3,No,0
109263,55,5,Ph.D/Doctorate,Bangalore,Sales,General Manager ,Male,2,No,0
109314,36,2,MBA/PGDM,Hyderabad,Product Management,Technical Architect-,Female,3,No,0
109345,30,5,Other degrees,Chennai,Training,Senior Engineer  ,Male,2,Yes,1
109347,42,5,M.Tech/M.E.,Chennai,Sales,Project Leader ,Female,4,No,0
109377,52,5,Other degrees,Chennai,Human Resources,Project Manager ,Female,3,No,0
109427,32,5,Other degrees,Kolkata,Research and Development,Senior Engineer ,Male,5,No,0
109428,31,5,MBA/PGDM,Hyderabad,Human Resources,Senior Engineer  ,Male,6,No,0
109433,30,5,MBA/PGDM,Hyderabad,Business Development,Associate Engineer  ,Male,3,No,0
109447,40,5,B.Tech/B.E.,Chennai,Sales,Project Leader ,Male,5,No,0
109452,41,0,Other degrees,Chennai,Human Resources,Project Manager ,Male,2,No,0
109462,52,5,M.Tech/M.E.,Delhi,Legal,Engineer  ,Male,2,No,0
109473,28,4,MBA/PGDM,Bangalore,Training,Project Leader ,Male,2,Yes,1
109506,27,5,MBA/PGDM,Ahmedabad,Engineering,Senior Engineer  ,Male,3,No,0
109559,57,5,M.Tech/M.E.,Ahmedabad,Sales,Lead Engineer  ,Male,5,No,0
109605,34,5,B.Tech/B.E.,Chennai,Human Resources,Lead Engineer ,Female,3,No,0
109640,52,5,Ph.D/Doctorate,Ahmedabad,Training,Engineer  ,Female,4,No,0
109642,69,5,Ph.D/Doctorate,Bangalore,Business Development,Senior Lead Engineer  ,Male,1,No,0
109657,37,5,Other degrees,Delhi,Human Resources,Technical Lead ,Female,6,No,0
109658,57,5,M.Tech/M.E.,Kolkata,Human Resources,Lead Engineer ,Male,3,No,0
109702,30,5,Ph.D/Doctorate,Delhi,Support,Program Manager ,Male,5,No,0
109709,33,2,B.Tech/B.E.,Chennai,Services,Lead Engineer ,Male,6,No,0
109722,37,11,Other degrees,Ahmedabad,Support,Manager ,Male,2,No,0
109723,37,11,Ph.D/Doctorate,Hyderabad,Sales,Centre Manager ,Male,2,No,0
109728,33,11,B.Tech/B.E.,Kolkata,Support,Manager ,Male,4,No,0
109730,33,13,M.Tech/M.E.,Bangalore,Marketing,Centre Manager ,Male,3,No,0
109732,40,11,MBA/PGDM,Chennai,Marketing,General Manager ,Male,4,No,0
109733,36,11,Ph.D/Doctorate,Ahmedabad,Human Resources,Lead Engineer ,Female,2,Yes,1
109734,47,10,Ph.D/Doctorate,Chennai,Human Resources,Program Manager ,Female,1,Yes,1
109738,34,10,Other degrees,Ahmedabad,Human Resources,Technical Manager ,Female,1,No,0
109739,52,10,B.Tech/B.E.,Chennai,Human Resources,Project Leader ,Female,5,No,0
109740,31,10,Ph.D/Doctorate,Kolkata,Human Resources,Program Manager ,Male,1,No,0
109741,39,10,B.Tech/B.E.,Bangalore,Human Resources,Project Leader ,Male,2,No,0
109743,32,10,B.Tech/B.E.,Hyderabad,Legal,Senior Engineer ,Male,3,No,0
109754,34,10,Other degrees,Hyderabad,Product Management,Project Manager ,Male,2,No,0
109756,36,10,B.Tech/B.E.,Chennai,Business Development,Centre Manager ,Male,5,No,0
109757,33,10,MBA/PGDM,Chennai,Sales,Project Manager ,Male,5,No,0
109759,41,10,MBA/PGDM,Kolkata,Legal,Project Manager ,Male,5,No,0
109760,63,9,MBA/PGDM,Mumbai,Sales,Senior Engineer  ,Male,1,No,0
109762,33,9,MBA/PGDM,Bangalore,Research and Development,Technical Manager ,Male,3,No,0
109763,36,9,M.Tech/M.E.,Delhi,Services,Senior Officer ,Female,3,No,0
109764,62,9,MBA/PGDM,Ahmedabad,Business Development,Lead Engineer  ,Male,1,No,0
109766,55,9,Other degrees,Bangalore,Support,Lead Engineer ,Male,3,No,0
109767,41,9,M.Tech/M.E.,Kolkata,Training,Project Manager ,Male,3,No,0
109769,34,9,Other degrees,Bangalore,Services,Program Manager ,Female,4,No,0
109772,62,9,MBA/PGDM,Ahmedabad,Business Development,Senior Lead Engineer  ,Male,4,No,0
109780,63,9,MBA/PGDM,Ahmedabad,Sales,Senior Engineer  ,Male,4,No,0
109781,61,9,Ph.D/Doctorate,Chennai,Business Development,Lead Engineer  ,Female,3,No,0
109785,36,9,Ph.D/Doctorate,Hyderabad,Human Resources,Technical Manager ,Male,4,Yes,1
109786,35,9,Ph.D/Doctorate,Chennai,Training,Technical Lead ,Male,5,No,0
109787,31,8,MBA/PGDM,Mumbai,Services,Lead Engineer  ,Male,4,Yes,1
109791,44,9,Ph.D/Doctorate,Bangalore,Support,Lead Engineer  ,Female,3,No,0
109795,33,9,B.Tech/B.E.,Bangalore,Training,Technical Manager ,Male,5,No,0
109796,75,9,B.Tech/B.E.,Chennai,Business Development,Senior Engineer  ,Male,4,Yes,1
109797,62,9,B.Tech/B.E.,Hyderabad,Sales,Lead Engineer  ,Female,2,Yes,1
109807,32,9,Ph.D/Doctorate,Chennai,Sales,Program Manager ,Male,4,No,0
109808,35,9,Ph.D/Doctorate,Kolkata,Human Resources,Technical Manager ,Male,5,No,0
109809,32,9,M.Tech/M.E.,Bangalore,Human Resources,Senior Engineer  ,Male,5,No,0
109817,34,9,M.Tech/M.E.,Ahmedabad,Training,Technical Lead ,Male,4,No,0
109822,31,8,M.Tech/M.E.,Ahmedabad,Support,Project Manager ,Female,4,Yes,1
109824,58,8,B.Tech/B.E.,Ahmedabad,Business Development,Lead Engineer  ,Female,2,Yes,1
109825,35,8,Other degrees,Chennai,Business Development,Program Manager ,Female,3,No,0
109828,33,8,Other degrees,Mumbai,Legal,Project Manager ,Male,7,No,0
109831,53,8,Other degrees,Delhi,Sales,Senior Engineer  ,Male,4,No,0
109836,33,8,B.Tech/B.E.,Bangalore,Sales,Project Manager ,Female,4,No,0
109838,37,8,Ph.D/Doctorate,Bangalore,Sales,Senior Associate - ,Male,2,No,0
