age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,AnnualIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Non-Travel,1346,Finance,19,4,Finance,1,14,2,Female,71,3,3,Manager ,1,Divorced,12307,147680,6,Yes,No,25,3,2,40,1,15,2,4,15,4,4,4
45,No,Non-Travel,103,Lifecycle Solutions/Engineering Process Services,24,3,Technical Degree,1,15,3,Male,77,4,3,Technical Manager ,2,Married,13347,160160,6,Yes,Yes,21,3,3,40,0,15,4,4,15,4,4,4
37,No,Non-Travel,1389,Program Management,21,4,Project Management,1,16,2,Male,64,1,3,Centre Manager ,2,Divorced,11093,133120,3,Yes,No,25,3,2,40,1,14,1,2,14,4,4,4
55,No,Non-Travel,334,Business Excellence,5,4,Human Resources,1,17,1,Male,93,4,4,Assistant Vice-President ,4,Divorced,16120,193440,8,Yes,Yes,18,1,2,40,2,13,5,4,13,3,3,3
37,No,Non-Travel,1123,Program Management,16,4,Project Management,1,18,4,Male,79,1,3,Program Manager ,4,Divorced,13693,164320,4,Yes,Yes,23,2,4,40,2,13,2,3,13,3,3,3
37,No,Non-Travel,1219,Unspecified,2,2,Others,1,19,1,Male,65,3,3,Senior Manager ,1,Married,11267,135200,4,Yes,No,13,2,3,40,0,13,3,1,13,3,3,3
38,No,Non-Travel,371,Program Management,2,4,Project Management,1,20,4,Male,65,3,3,Centre Manager ,2,Married,11267,135200,5,Yes,Yes,16,2,1,40,0,13,3,3,13,3,3,3
39,No,Non-Travel,673,Mechanical Systems/Detail Engineering,11,3,Technical Degree,1,21,1,Male,55,4,2,Senior Lead Engineer ,2,Divorced,9533,114400,5,Yes,No,15,4,3,40,1,3,5,4,3,1,1,1
49,No,Non-Travel,1218,Program Management,9,4,Project Management,1,22,3,Female,63,3,3,Centre Manager ,1,Married,10920,131040,6,Yes,No,23,3,3,40,0,12,4,3,12,3,3,3
48,No,Non-Travel,419,Lifecycle Solutions/Engineering Process Services,7,3,Technical Degree,1,23,1,Male,50,2,2,Project Leader ,3,Married,8667,104000,0,Yes,No,12,3,2,40,0,12,4,2,12,3,3,3
42,No,Non-Travel,391,Mechanical Systems/Detail Engineering,15,3,Technical Degree,1,24,3,Male,50,1,2,Senior Engineer ,4,Married,8667,104000,5,Yes,No,14,1,4,40,0,5,6,3,5,1,1,1
39,No,Non-Travel,699,Mechanical Systems/Detail Engineering,6,3,Technical Degree,1,25,2,Male,80,1,3,Project Manager ,1,Married,13867,166400,5,Yes,No,21,3,3,40,0,8,2,1,8,2,2,2
37,No,Non-Travel,1282,Mechanical Systems/Detail Engineering,5,3,Technical Degree,1,26,3,Male,55,2,2,Project Leader ,1,Divorced,9533,114400,4,Yes,No,14,1,2,40,1,10,3,4,10,3,3,3
38,No,Non-Travel,1125,Mechanical Systems/Detail Engineering,16,3,Technical Degree,1,27,2,Male,52,1,2,Senior Lead Engineer ,2,Married,9013,108160,5,Yes,Yes,12,3,2,40,0,1,5,3,1,0,0,0
35,No,Non-Travel,691,Program Management,8,4,Project Management,1,28,3,Female,79,3,3,Centre Manager ,4,Married,13693,164320,6,Yes,No,11,4,3,40,1,12,2,3,12,3,3,3
38,No,Non-Travel,477,Sales,7,4,Project Management,1,29,1,Male,74,3,3,Senior Manager ,4,Married,12827,153920,6,Yes,No,22,2,3,40,1,3,4,1,3,1,1,1
56,No,Non-Travel,705,Corporate Development,2,4,Human Resources,1,30,2,Male,95,2,4,Vice President ,4,Married,16467,197600,6,Yes,No,14,3,4,40,0,11,2,2,11,3,3,3
38,No,Non-Travel,924,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,31,3,Male,55,3,2,Lead Engineer ,4,Married,9533,114400,2,Yes,No,20,3,1,40,0,3,3,4,3,1,1,1
36,No,Non-Travel,1459,PMO,10,4,Project Management,1,32,4,Male,69,4,3,Deputy Manager ,1,Married,11960,143520,6,Yes,Yes,22,2,4,40,0,11,5,4,11,3,3,3
39,No,Non-Travel,125,Mechanical Systems/Design & Development,9,3,Technical Degree,1,33,4,Male,72,1,3,Project Manager ,2,Married,12480,149760,5,Yes,No,20,2,1,40,0,7,5,4,7,2,2,2
69,No,Non-Travel,895,Mechanical Systems/Testing Services,5,3,Technical Degree,1,34,4,Male,53,2,2,Lead Engineer ,4,Married,9187,110240,4,Yes,No,15,2,2,40,1,11,6,3,11,3,3,3
53,No,Non-Travel,813,Program Management,1,4,Project Management,1,35,2,Male,74,4,3,Centre Manager ,1,Married,12827,153920,5,Yes,Yes,15,2,1,40,1,11,2,2,11,3,3,3
61,No,Non-Travel,1273,Mechanical Systems/Design & Development,2,3,Technical Degree,1,36,4,Male,55,2,2,Senior Lead Engineer ,2,Divorced,9533,114400,2,Yes,No,18,1,3,40,2,11,3,3,11,3,3,3
33,No,Non-Travel,869,Program Management,3,4,Project Management,1,37,1,Female,77,1,3,Centre Manager ,3,Married,13347,160160,3,Yes,Yes,11,4,1,40,0,11,2,4,11,3,3,3
38,No,Non-Travel,890,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,38,4,Male,52,4,2,Lead Engineer ,1,Married,9013,108160,4,Yes,No,12,2,1,40,0,3,3,3,3,1,1,1
33,No,Non-Travel,852,Program Management,5,4,Project Management,1,39,2,Male,71,3,3,Centre Manager ,3,Married,12307,147680,3,Yes,Yes,18,1,3,40,1,11,3,2,11,3,3,3
39,No,Non-Travel,1141,Engineering Software,1,3,Technical Degree,1,40,3,Male,80,4,3,Project Manager ,4,Married,13867,166400,4,Yes,No,21,3,1,40,2,0,3,4,0,0,0,0
47,No,Non-Travel,464,Mechanical Systems/Manufacturing Engineering,4,3,Technical Degree,1,41,3,Male,50,2,2,Project Leader ,4,Divorced,8667,104000,1,Yes,No,21,2,1,40,1,3,3,4,3,1,1,1
58,No,Non-Travel,1240,Sales,2,4,Project Management,1,42,4,Male,91,3,4,Senior Vice President ,2,Divorced,15773,189280,5,Yes,No,20,4,4,40,1,10,6,1,10,3,3,3
43,No,Non-Travel,1357,Mechanical Systems/Detail Engineering,25,3,Technical Degree,1,43,1,Male,71,3,3,Project Manager ,3,Married,12307,147680,6,Yes,No,16,2,1,40,0,11,2,4,11,3,3,3
36,No,Non-Travel,994,Embedded Systems & Electronics,8,3,Technical Degree,1,44,4,Male,50,2,2,Project Leader ,2,Married,8667,104000,1,Yes,No,23,1,3,40,0,3,0,3,3,1,1,1
69,No,Non-Travel,721,Strategic Services,1,4,Project Management,1,45,3,Male,98,2,4,Vice President ,2,Married,16987,203840,6,Yes,No,14,1,4,40,0,25,2,2,25,6,6,6
49,No,Non-Travel,1360,Mechanical Systems/Engineering Analysis,12,3,Technical Degree,1,46,2,Male,52,3,4,Principal Engineer ,1,Married,9013,108160,3,Yes,No,24,4,2,40,0,22,0,1,22,6,6,6
57,No,Non-Travel,1065,Mechanical Systems/Engineering Analysis,23,3,Technical Degree,1,47,2,Male,53,3,2,Technical Lead ,3,Married,9187,110240,0,Yes,No,15,4,4,40,0,21,2,2,21,5,5,5
49,No,Non-Travel,408,Program Management,19,4,Project Management,1,48,2,Male,64,4,3,Program Manager ,2,Married,11093,133120,3,Yes,No,11,2,1,40,0,21,1,4,21,5,5,5
52,No,Non-Travel,1211,Mechanical Systems/Engineering Analysis,5,3,Technical Degree,1,49,1,Male,74,3,3,Chief Engineer ,2,Married,12827,153920,4,Yes,Yes,21,2,2,40,0,20,4,1,20,5,5,5
41,No,Non-Travel,1229,Technology Excellence,8,3,Technical Degree,1,50,4,Male,78,4,3,Senior Manager ,3,Married,13520,162240,5,Yes,No,18,3,1,40,0,18,2,2,18,5,5,5
41,No,Non-Travel,626,Program Management,1,4,Project Management,1,51,1,Male,71,4,3,Centre Manager ,3,Married,12307,147680,3,Yes,Yes,14,3,2,40,0,17,2,1,17,4,4,4
38,No,Non-Travel,1434,Mechanical Systems/Engineering Analysis,5,3,Technical Degree,1,52,3,Male,61,3,3,Project Manager ,4,Married,10573,126880,6,Yes,Yes,21,1,1,40,0,13,3,4,13,3,3,3
36,No,Non-Travel,1488,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,53,2,Male,60,4,2,Project Leader ,4,Divorced,10400,124800,5,Yes,Yes,19,3,4,40,1,13,2,1,13,3,3,3
44,No,Non-Travel,1097,Sales,11,4,Project Management,1,54,3,Male,76,2,3,General Manager ,4,Married,13173,158080,4,Yes,Yes,24,3,1,40,1,3,3,1,3,1,1,1
35,No,Non-Travel,1443,Mechanical Systems/Manufacturing Engineering,23,3,Technical Degree,1,55,3,Female,67,3,3,Project Manager ,3,Married,11613,139360,4,Yes,Yes,15,2,3,40,1,0,2,1,0,0,0,0
62,No,Non-Travel,515,Sales,1,4,Project Management,1,56,1,Male,100,4,4,Senior Vice President ,1,Married,17333,208000,6,Yes,Yes,12,1,4,40,0,9,1,3,9,2,2,2
32,No,Non-Travel,853,Lifecycle Solutions/Engineering Analytics,18,3,Technical Degree,1,57,2,Male,50,3,2,Project Leader ,3,Married,8667,104000,1,Yes,No,24,4,2,40,1,7,3,2,7,2,2,2
33,No,Non-Travel,1142,Mechanical Systems/Engineering Analysis,23,3,Technical Degree,1,58,3,Male,76,1,3,Project Manager ,4,Married,13173,158080,4,Yes,Yes,16,2,2,40,1,9,3,1,9,2,2,2
38,No,Non-Travel,655,Embedded Systems & Electronics,7,3,Technical Degree,1,59,4,Male,72,4,3,Technical Architect-,3,Divorced,12480,149760,6,Yes,No,12,4,1,40,1,5,3,2,5,1,1,1
33,No,Non-Travel,1115,Engineering Software,1,3,Technical Degree,1,60,1,Male,57,2,2,Lead Engineer ,3,Divorced,9880,118560,4,Yes,No,25,3,4,40,1,3,2,2,3,1,1,1
31,No,Non-Travel,427,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,61,1,Male,58,1,2,Project Leader ,2,Married,10053,120640,1,Yes,Yes,25,3,3,40,1,9,3,2,9,2,2,2
33,No,Non-Travel,653,Mechanical Systems/Detail Engineering,29,3,Technical Degree,1,62,4,Male,56,2,2,Lead Engineer ,4,Married,9707,116480,2,Yes,No,12,2,1,40,0,0,2,3,0,0,0,0
35,No,Non-Travel,989,Mechanical Systems/Detail Engineering,7,3,Technical Degree,1,63,2,Male,56,4,2,Project Leader ,2,Divorced,9707,116480,5,Yes,Yes,24,2,3,40,1,3,2,1,3,1,1,1
32,No,Non-Travel,1435,Mechanical Systems/Engineering Analysis,25,3,Technical Degree,1,64,1,Male,51,1,2,Lead Engineer ,3,Married,8840,106080,2,Yes,No,20,2,3,40,0,8,3,3,8,2,2,2
35,No,Non-Travel,1223,Mechanical Systems/Engineering Analysis,8,3,Technical Degree,1,65,3,Male,91,4,4,Principal Engineer ,4,Divorced,15773,189280,2,Yes,No,24,1,2,40,3,8,2,2,8,2,2,2
41,No,Non-Travel,836,Mechanical Systems/Engineering Analysis,8,3,Technical Degree,1,66,4,Male,54,1,2,Lead Engineer ,4,Divorced,9360,112320,2,Yes,Yes,24,1,1,40,3,8,2,2,8,2,2,2
36,No,Non-Travel,1195,Mechanical Systems/Detail Engineering,11,3,Technical Degree,1,67,2,Male,58,2,2,Senior Engineer ,4,Married,10053,120640,4,Yes,No,23,3,1,40,0,5,3,4,5,1,1,1
32,No,Non-Travel,1339,Mechanical Systems/Engineering Analysis,7,3,Technical Degree,1,68,2,Male,60,3,2,Lead Engineer ,1,Divorced,10400,124800,4,Yes,No,18,3,1,40,1,8,2,3,8,2,2,2
34,No,Non-Travel,664,Unspecified,1,2,Others,1,69,2,Female,56,4,2,Project Leader ,4,Married,9707,116480,4,Yes,No,11,3,4,40,1,8,2,1,8,2,2,2
41,No,Non-Travel,318,Human Resources,9,4,Human Resources,1,70,4,Female,68,2,3,Senior Manager ,4,Married,11787,141440,5,Yes,Yes,11,1,1,40,1,8,0,2,8,2,2,2
33,No,Non-Travel,1225,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,71,1,Male,58,1,2,Lead Engineer ,1,Married,10053,120640,2,Yes,No,25,3,3,40,0,0,2,3,0,0,0,0
40,No,Non-Travel,1328,Engineering Software,2,3,Technical Degree,1,72,3,Male,80,3,3,Project Manager ,1,Married,13867,166400,3,Yes,No,24,2,4,40,1,4,3,1,4,1,1,1
35,No,Non-Travel,1082,Mechanical Systems/Design & Development,1,3,Technical Degree,1,73,3,Male,60,1,2,Project Leader ,3,Married,10400,124800,1,Yes,No,19,4,3,40,0,8,4,1,8,2,2,2
31,No,Non-Travel,548,Mechanical Systems/Detail Engineering,1,3,Technical Degree,1,74,2,Male,54,1,2,Project Leader ,1,Married,9360,112320,1,Yes,No,20,1,3,40,2,2,3,4,2,1,1,1
34,No,Non-Travel,132,Mechanical Systems/Detail Engineering,6,3,Technical Degree,1,75,2,Male,50,3,2,Project Leader ,2,Married,8667,104000,3,Yes,No,17,4,3,40,0,0,3,1,0,0,0,0
32,No,Non-Travel,746,Mechanical Systems/Engineering Analysis,8,3,Technical Degree,1,76,3,Male,52,4,2,Senior Engineer ,2,Married,9013,108160,2,Yes,No,19,3,3,40,0,8,2,4,8,2,2,2
42,No,Non-Travel,776,Mechanical Systems/Detail Engineering,1,3,Technical Degree,1,77,3,Male,50,1,2,Project Leader ,3,Married,8667,104000,0,Yes,No,11,2,4,40,0,0,2,1,0,0,0,0
30,No,Non-Travel,193,Mechanical Systems/Detail Engineering,6,3,Technical Degree,1,78,4,Male,51,1,2,Senior Engineer ,3,Married,8840,106080,5,Yes,Yes,19,1,1,40,0,0,3,2,0,0,0,0
39,No,Non-Travel,397,Mechanical Systems/Detail Engineering,7,3,Technical Degree,1,79,1,Male,58,2,2,Project Leader ,2,Married,10053,120640,4,Yes,No,23,3,4,40,0,1,3,3,1,0,0,0
31,No,Non-Travel,945,Mechanical Systems/Engineering Analysis,5,3,Technical Degree,1,80,2,Male,57,1,2,Senior Engineer ,4,Divorced,9880,118560,3,Yes,Yes,17,1,1,40,1,8,2,1,8,2,2,2
57,No,Non-Travel,852,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,81,4,Female,50,2,2,Senior Engineer  ,4,Married,8667,104000,3,Yes,Yes,23,3,1,40,2,8,1,4,8,2,2,2
30,No,Non-Travel,1214,Mechanical Systems/Detail Engineering,1,3,Technical Degree,1,82,2,Male,56,2,2,Lead Engineer ,2,Married,9707,116480,4,Yes,No,15,2,2,40,0,2,3,1,2,1,1,1
30,No,Non-Travel,111,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,83,1,Male,50,4,2,Project Leader ,1,Married,8667,104000,3,Yes,No,12,1,4,40,1,8,4,2,8,2,2,2
48,No,Non-Travel,573,Lifecycle Solutions/Engineering Process Services,6,3,Technical Degree,1,84,2,Male,53,4,2,Lead Engineer  ,4,Divorced,9187,110240,4,Yes,Yes,11,1,4,40,3,8,3,3,8,2,2,2
60,No,Non-Travel,1153,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,85,1,Male,57,3,2,Lead Engineer  ,4,Married,9880,118560,3,Yes,No,24,1,2,40,0,7,2,3,7,2,2,2
40,No,Non-Travel,1400,Mechanical Systems/Design & Development,7,3,Technical Degree,1,86,4,Male,65,4,3,Technical Manager ,4,Married,11267,135200,5,Yes,No,20,2,4,40,0,7,3,3,7,2,2,2
32,No,Non-Travel,541,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,87,3,Male,56,2,2,Lead Engineer ,1,Divorced,9707,116480,4,Yes,No,15,1,4,40,1,7,3,2,7,2,2,2
39,No,Non-Travel,432,IT-Infra,9,3,Technical Degree,1,88,4,Male,49,2,1,Specialist  ,4,Married,8493,101920,1,Yes,No,17,1,4,40,2,7,4,2,7,2,2,2
63,No,Non-Travel,288,Lifecycle Solutions/Engineering Process Services,2,3,Technical Degree,1,89,3,Male,52,3,2,Lead Engineer ,4,Married,9013,108160,4,Yes,No,24,3,1,40,3,7,3,4,7,2,2,2
36,No,Non-Travel,669,Program Management,9,4,Project Management,1,90,3,Male,80,3,3,Program Manager ,4,Married,13867,166400,5,Yes,No,13,2,1,40,0,7,3,1,7,2,2,2
30,No,Non-Travel,530,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,91,3,Male,57,3,2,Project Leader ,2,Married,9880,118560,1,Yes,No,17,4,4,40,1,2,3,4,2,1,1,1
36,No,Non-Travel,632,Program Management,21,4,Project Management,1,92,3,Male,70,4,3,Program Manager ,3,Married,12133,145600,3,Yes,Yes,22,2,2,40,0,4,2,3,4,1,1,1
28,No,Non-Travel,1334,Lifecycle Solutions/Engineering Process Services,4,3,Technical Degree,1,93,3,Male,72,3,3,Project Manager ,1,Divorced,12480,149760,4,Yes,Yes,11,1,1,40,3,7,4,1,7,2,2,2
51,No,Non-Travel,638,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,94,3,Male,50,1,2,Senior Engineer  ,3,Married,8667,104000,3,Yes,Yes,20,3,1,40,1,7,5,4,7,2,2,2
31,No,Non-Travel,1093,Mechanical Systems/Manufacturing Engineering,6,3,Technical Degree,1,95,2,Male,50,4,2,Senior Engineer ,2,Married,8667,104000,3,Yes,No,17,1,1,40,0,7,0,4,7,2,2,2
39,No,Non-Travel,1217,Lifecycle Solutions/Engineering Process Services,2,3,Technical Degree,1,96,1,Male,50,2,2,Engineer  ,4,Married,8667,104000,3,Yes,No,23,4,3,40,1,7,5,4,7,2,2,2
35,No,Non-Travel,1353,Lifecycle Solutions/Engineering Process Services,3,3,Technical Degree,1,97,1,Male,73,4,3,Project Manager ,2,Married,12653,151840,4,Yes,No,17,4,4,40,1,7,2,1,7,2,2,2
36,No,Non-Travel,120,Mechanical Systems/Manufacturing Engineering,4,3,Technical Degree,1,98,2,Male,59,4,2,Lead Engineer ,4,Married,10227,122720,5,Yes,No,18,4,4,40,0,1,3,1,1,0,0,0
56,No,Non-Travel,682,Lifecycle Solutions/Engineering Process Services,10,3,Technical Degree,1,99,4,Male,50,2,2,Senior Engineer  ,4,Married,8667,104000,5,Yes,No,25,1,4,40,0,7,1,1,7,2,2,2
32,No,Non-Travel,489,Lifecycle Solutions/Supply Chain Solutions,23,3,Technical Degree,1,100,2,Male,59,1,2,Project Leader ,3,Married,10227,122720,4,Yes,No,19,2,1,40,1,7,3,4,7,2,2,2
30,No,Non-Travel,807,Lifecycle Solutions/Engineering Process Services,6,3,Technical Degree,1,101,3,Female,60,4,2,Technical Lead ,1,Divorced,10400,124800,4,Yes,Yes,16,3,1,40,0,7,3,3,7,2,2,2
34,No,Non-Travel,827,Mechanical Systems/Manufacturing Engineering,1,3,Technical Degree,1,102,4,Male,54,1,2,Lead Engineer ,1,Married,9360,112320,2,Yes,No,21,1,3,40,0,0,2,1,0,0,0,0
38,No,Non-Travel,871,Mechanical Systems/Detail Engineering,6,3,Technical Degree,1,103,4,Male,53,4,2,Senior Lead Engineer ,4,Married,9187,110240,3,Yes,Yes,21,3,2,40,0,2,5,2,2,1,1,1
32,No,Non-Travel,665,Lifecycle Solutions/Engineering Process Services,6,3,Technical Degree,1,104,1,Male,51,3,2,Senior Engineer  ,2,Married,8840,106080,3,Yes,No,20,3,2,40,0,7,3,2,7,2,2,2
31,No,Non-Travel,1040,Lifecycle Solutions/Engineering Process Services,2,3,Technical Degree,1,105,3,Male,53,2,2,Senior Engineer  ,4,Divorced,9187,110240,2,Yes,No,20,1,4,40,1,7,2,1,7,2,2,2
30,No,Non-Travel,1420,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,106,3,Male,64,1,3,Project Manager ,3,Married,11093,133120,4,Yes,No,21,3,3,40,1,7,3,1,7,2,2,2
32,No,Non-Travel,1115,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,107,1,Male,53,3,2,Lead Engineer ,1,Married,9187,110240,4,Yes,Yes,16,1,2,40,0,4,1,1,4,1,1,1
34,No,Non-Travel,240,Lifecycle Solutions/Engineering Process Services,5,3,Technical Degree,1,108,3,Female,58,4,2,Senior Engineer  ,4,Married,10053,120640,3,Yes,Yes,23,3,4,40,0,7,1,3,7,2,2,2
31,No,Non-Travel,1280,Lifecycle Solutions/Engineering Process Services,7,3,Technical Degree,1,109,4,Male,51,4,2,Project Leader ,3,Married,8840,106080,1,Yes,No,13,3,1,40,2,7,2,3,7,2,2,2
35,No,Non-Travel,534,Lifecycle Solutions/Engineering Process Services,15,3,Technical Degree,1,110,2,Male,51,2,2,Engineer  ,3,Married,8840,106080,3,Yes,No,16,3,1,40,0,7,5,4,7,2,2,2
31,No,Non-Travel,1456,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,111,1,Male,51,4,2,Technical Lead ,4,Married,8840,106080,3,Yes,No,11,2,1,40,0,7,1,3,7,2,2,2
30,No,Non-Travel,658,Mechanical Systems/Manufacturing Engineering,7,3,Technical Degree,1,112,1,Male,56,1,2,Senior Engineer  ,2,Married,9707,116480,2,Yes,Yes,16,4,3,40,0,7,3,3,7,2,2,2
32,No,Non-Travel,142,Administration,26,4,Human Resources,1,113,4,Male,80,4,3,Manager ,1,Married,13867,166400,5,Yes,Yes,19,3,4,40,0,7,3,4,7,2,2,2
53,No,Non-Travel,1127,Lifecycle Solutions/Engineering Process Services,18,3,Technical Degree,1,114,2,Male,52,4,2,Lead Engineer  ,3,Married,9013,108160,2,Yes,No,14,4,4,40,1,9,2,1,9,2,2,2
30,No,Non-Travel,1031,Lifecycle Solutions/Engineering Process Services,6,3,Technical Degree,1,115,3,Male,55,3,2,Senior Engineer  ,4,Divorced,9533,114400,5,Yes,No,22,4,4,40,1,7,3,2,7,2,2,2
41,No,Non-Travel,1189,Lifecycle Solutions/Engineering Process Services,3,3,Technical Degree,1,116,3,Female,53,1,2,Project Leader ,4,Married,9187,110240,2,Yes,No,15,2,3,40,0,7,3,3,7,2,2,2
29,No,Non-Travel,1354,Lifecycle Solutions/Engineering Process Services,5,3,Technical Degree,1,117,3,Male,52,4,2,Project Leader ,2,Married,9013,108160,2,Yes,No,18,2,3,40,0,7,6,1,7,2,2,2
29,No,Non-Travel,1467,Lifecycle Solutions/Engineering Process Services,11,3,Technical Degree,1,118,2,Male,65,4,3,Project Manager ,4,Married,11267,135200,6,Yes,No,14,1,3,40,1,7,6,1,7,2,2,2
37,No,Non-Travel,922,Mechanical Systems/Manufacturing Engineering,3,3,Technical Degree,1,119,1,Male,55,3,2,Senior Engineer ,3,Divorced,9533,114400,5,Yes,No,25,3,1,40,1,1,2,2,1,0,0,0
35,No,Non-Travel,394,Mechanical Systems/Detail Engineering,26,3,Technical Degree,1,120,3,Male,59,4,2,Lead Engineer  ,2,Married,10227,122720,5,Yes,Yes,24,2,1,40,2,7,3,3,7,2,2,2
29,No,Non-Travel,1312,Lifecycle Solutions/Engineering Process Services,23,3,Technical Degree,1,121,1,Male,53,4,2,Lead Engineer  ,1,Divorced,9187,110240,3,Yes,No,19,4,1,40,3,7,2,2,7,2,2,2
55,No,Non-Travel,750,Lifecycle Solutions/Engineering Process Services,22,3,Technical Degree,1,122,3,Female,59,1,2,Senior Engineer  ,2,Married,10227,122720,4,Yes,No,11,4,2,40,1,7,2,3,7,2,2,2
31,No,Non-Travel,441,Lifecycle Solutions/Engineering Process Services,14,3,Technical Degree,1,123,2,Male,56,3,2,Lead Engineer  ,3,Married,9707,116480,3,Yes,Yes,16,3,4,40,3,7,2,4,7,2,2,2
62,No,Non-Travel,684,Lifecycle Solutions/Engineering Process Services,6,3,Technical Degree,1,124,1,Male,55,1,2,Senior Engineer  ,2,Married,9533,114400,3,Yes,No,11,3,1,40,0,7,5,1,7,2,2,2
46,No,Non-Travel,249,Sales,6,4,Project Management,1,125,2,Male,96,4,4,Assistant Vice-President ,4,Married,16640,199680,8,Yes,Yes,22,2,3,40,0,2,3,2,2,1,1,1
57,No,Non-Travel,841,Sales,6,4,Project Management,1,126,3,Male,90,4,4,Vice President ,1,Married,15600,187200,8,Yes,No,19,3,1,40,0,7,3,2,7,2,2,2
34,No,Non-Travel,147,Lifecycle Solutions/Engineering Process Services,23,3,Technical Degree,1,127,4,Male,52,1,2,Lead Engineer ,2,Married,9013,108160,3,Yes,No,14,4,2,40,1,4,3,2,4,1,1,1
